customer_id,avg_browse_duration_min,monthly_page_views,search_keywords_count,cart_add_count,cart_abandon_rate,click_through_rate,email_open_rate,complaint_count,has_complaint_last_month
C0132,27.37,190,6,20,0.77,0.274,0.706,4,否
C0133,28.04,243,2,12,0.41,0.05,0.094,0,否
C0134,35.04,183,54,2,0.6,0.05,0.214,4,是
C0135,84.68,97,61,37,0.72,0.348,0.156,0,否
C0136,28.2,114,8,2,0.15,0.09,0.143,4,是
C0137,21.57,336,36,22,0.9,0.212,0.346,2,否
C0138,98.95,104,63,19,0.61,0.201,0.9,0,否
C0139,20.89,210,6,0,0.76,0.034,0.405,2,否
C0140,59.8,441,43,0,0.84,0.018,0.455,1,否
C0141,19.68,392,2,11,0.15,0.199,0.134,3,是
C0142,24.15,380,28,15,0.3,0.173,0.378,0,是
C0143,2.67,135,20,15,0.82,0.078,0.048,2,否
C0144,7.21,37,13,1,0.35,0.14,0.277,2,是
C0145,34.67,42,60,13,0.85,0.231,0.542,0,是
C0146,5.58,156,0,15,0.16,0.111,0.387,5,是
C0147,15.12,178,4,18,0.79,0.179,0.109,3,是
C0148,39.4,59,9,0,0.03,0.017,0.206,2,是
C0149,0.22,201,12,22,0.63,0.237,0.042,4,否
C0150,40.45,206,52,10,0.2,0.233,0.574,4,否
C0151,44.63,520,64,10,0.78,0.223,0.142,2,否
C0152,45.91,317,5,10,0.75,0.021,0.3,5,是
C0153,70.37,129,22,30,0.48,0.077,0.555,0,是
C0154,18.56,33,10,13,0.7,0.239,0.29,5,是
C0155,3.3,368,14,4,0.87,0.188,0.35,3,否
C0156,56.59,820,27,18,0.78,0.082,0.572,3,否
C0157,29.37,113,1,11,0.39,0.029,0.164,5,否
C0158,26.73,240,17,8,0.18,0.046,0.053,1,否
C0159,66.32,495,48,32,0.27,0.329,0.389,2,否
C0160,2.55,337,22,23,0.25,0.012,0.173,4,否
C0161,25.38,229,30,6,0.19,0.066,0.594,4,是
C0162,38.94,210,58,12,0.1,0.178,0.504,5,是
C0163,19.98,156,3,14,0.21,0.143,0.299,3,否
C0164,6.82,427,1,4,0.3,0.106,0.679,5,否
C0165,2.59,291,8,4,0.57,0.097,0.298,1,否
C0166,39.24,385,13,17,0.85,0.164,0.479,0,是
C0167,8.75,372,16,20,0.71,0.136,0.419,0,是
C0168,17.05,392,86,45,0.63,0.027,0.345,2,是
C0169,25.88,240,5,14,0.79,0.145,0.196,5,否
C0170,21.13,368,31,8,0.03,0.068,0.459,3,是
C0171,55.08,438,14,32,0.12,0.214,0.036,2,否
C0172,46.36,566,16,25,0.68,0.024,0.007,3,否
C0173,68.93,387,15,10,0.7,0.004,0.497,4,是
C0174,0.09,91,4,15,0.03,0.032,0.014,4,否
C0175,1.93,141,9,10,0.55,0.014,0.066,5,否
C0176,42.26,256,8,24,0.49,0.083,0.36,2,否
C0177,10.55,228,28,2,0.03,0.147,0.351,4,是
C0178,19.32,104,18,6,0.85,0.136,0.164,0,否
C0179,21.51,124,8,0,0.7,0.134,0.299,4,否
C0180,74.99,124,81,50,0.86,0.358,0.616,2,否
C0181,17.43,249,11,13,0.2,0.0,0.147,3,是
C0182,36.09,16,23,9,0.57,0.447,0.079,1,否
C0183,22.54,85,30,6,0.26,0.165,0.183,4,是
C0184,45.2,411,43,26,0.7,0.079,0.159,2,是
C0185,2.09,191,25,0,0.51,0.096,0.268,5,是
C0186,10.69,3,20,12,0.86,0.083,0.124,2,是
C0187,1.0,549,8,2,0.35,0.16,0.572,4,是
C0188,20.27,422,25,36,0.88,0.328,0.241,4,否
C0189,23.28,352,13,2,0.15,0.265,0.555,2,是
C0190,11.86,61,7,6,0.6,0.132,0.239,5,是
C0191,32.95,223,39,6,0.07,0.166,0.334,0,是
C0192,0.08,278,8,2,0.72,0.303,0.162,4,是
C0193,13.03,270,52,36,0.15,0.233,0.438,5,是
C0194,4.86,562,39,30,0.11,0.206,0.352,0,否
C0195,40.72,272,7,28,0.1,0.157,0.386,2,是
C0196,35.06,364,16,14,0.67,0.166,0.226,5,是
C0197,11.45,134,1,11,0.05,0.149,0.102,1,否
C0198,25.68,334,35,15,0.77,0.016,0.47,4,是
C0199,15.26,151,15,14,0.16,0.076,0.1,2,是
C0200,31.55,214,6,4,0.65,0.114,0.001,1,是
C0201,29.52,223,6,16,0.83,0.235,0.065,1,是
C0202,7.56,73,8,7,0.89,0.098,0.219,5,是
C0203,1.98,246,11,9,0.54,0.029,0.003,1,是
C0204,3.83,164,6,0,0.25,0.107,0.045,1,是
C0205,51.62,310,26,32,0.84,0.25,0.074,2,是
C0206,4.47,723,86,7,0.45,0.226,0.957,3,否
C0207,11.88,3,21,13,0.05,0.107,0.178,3,否
C0208,49.64,374,66,5,0.55,0.121,0.829,5,是
C0209,31.28,248,4,10,0.61,0.195,0.47,0,否
C0210,8.96,223,19,0,0.77,0.024,0.225,4,是
C0211,3.58,203,0,4,0.22,0.145,0.162,2,是
C0212,29.76,164,8,3,0.51,0.192,0.097,0,否
C0213,35.05,313,3,13,0.37,0.319,0.698,3,否
C0214,33.16,468,2,14,0.21,0.142,0.11,4,否
C0215,10.86,17,9,9,0.26,0.114,0.076,5,是
C0216,13.23,112,12,3,0.62,0.091,0.057,1,否
C0217,16.5,127,32,15,0.34,0.109,0.062,1,否
C0218,4.04,228,3,1,0.27,0.022,0.065,3,是
C0219,27.59,191,10,15,0.59,0.104,0.08,1,是
C0220,20.38,220,16,10,0.8,0.006,0.22,4,是
C0221,53.27,577,31,4,0.58,0.261,0.653,5,是
C0222,71.07,534,77,21,0.24,0.109,0.366,1,是
C0223,34.57,397,14,24,0.41,0.23,0.427,5,是
C0224,39.38,225,25,12,0.23,0.109,0.88,5,是
C0225,2.33,183,11,13,0.6,0.075,0.008,5,否
C0226,17.75,195,39,18,0.35,0.166,0.324,3,否
C0227,23.88,105,18,11,0.81,0.12,0.08,5,否
C0228,45.46,151,12,10,0.33,0.113,0.411,3,否
C0229,100.57,556,88,28,0.34,0.436,0.465,2,是
C0230,3.8,144,14,8,0.02,0.167,0.004,2,否
C0231,24.39,337,16,4,0.68,0.143,0.155,2,否
C0232,19.06,349,22,4,0.1,0.221,0.007,2,是
C0233,7.19,201,22,9,0.89,0.04,0.115,2,是
C0234,71.83,591,19,24,0.49,0.07,0.571,1,否
C0235,39.2,127,39,8,0.8,0.051,0.389,3,否
C0236,10.56,319,23,5,0.09,0.218,0.434,0,是
C0237,23.79,220,17,23,0.15,0.224,0.038,5,否
C0238,4.43,385,28,6,0.29,0.05,0.392,5,否
C0239,22.17,47,13,14,0.82,0.12,0.078,5,否
C0240,3.5,310,14,24,0.87,0.313,0.672,5,是
C0241,20.75,107,25,5,0.79,0.123,0.067,3,否
C0242,32.61,360,32,14,0.61,0.146,0.14,0,是
C0243,20.06,43,49,31,0.04,0.275,0.504,1,否
C0244,67.13,44,1,34,0.84,0.117,0.374,0,是
C0245,1.22,65,24,21,0.61,0.175,0.032,1,否
C0246,22.23,350,9,2,0.38,0.145,0.109,4,是
C0247,23.08,58,24,6,0.48,0.094,0.026,1,是
C0248,14.29,127,28,22,0.31,0.255,0.373,3,是
C0249,27.19,9,19,10,0.17,0.109,0.257,1,否
C0250,6.14,156,31,8,0.74,0.206,0.328,1,是
C0251,5.07,166,22,12,0.73,0.034,0.185,4,是
C0252,0.04,95,15,11,0.62,0.134,0.249,2,是
C0253,6.2,176,21,1,0.46,0.233,0.225,0,是
C0254,16.54,120,1,8,0.17,0.091,0.236,0,是
C0255,59.74,128,28,1,0.09,0.177,0.112,0,否
C0256,19.34,246,17,3,0.8,0.084,0.168,1,是
C0257,28.91,128,21,12,0.76,0.065,0.212,2,否
C0258,37.41,199,9,8,0.4,0.063,0.07,1,是
C0259,4.25,43,22,8,0.02,0.016,0.182,2,是
C0260,10.38,174,23,9,0.14,0.122,0.297,5,是
C0261,12.86,594,26,14,0.05,0.066,0.64,2,是
C0262,11.15,15,12,3,0.75,0.095,0.217,1,是
C0263,61.57,75,40,1,0.24,0.246,0.354,0,是
C0264,0.19,173,10,3,0.77,0.142,0.232,5,否
C0265,4.45,229,21,1,0.2,0.058,0.12,0,否
C0266,47.81,146,43,31,0.65,0.236,0.278,2,否
C0267,23.72,14,11,5,0.23,0.011,0.052,5,是
C0268,11.05,112,23,4,0.06,0.085,0.275,2,否
C0269,20.56,10,28,23,0.6,0.138,0.18,1,否
C0270,13.53,129,11,12,0.17,0.072,0.0,1,是
C0271,18.26,272,12,25,0.01,0.224,0.469,0,是
C0272,21.87,25,4,4,0.07,0.03,0.073,5,否
C0273,65.23,386,30,16,0.48,0.233,0.292,4,否
C0274,15.52,106,32,18,0.8,0.083,0.574,1,是
C0275,21.02,163,34,19,0.03,0.23,0.334,4,否
C0276,70.06,396,39,12,0.76,0.505,1.016,5,否
C0277,9.74,250,4,16,0.69,0.079,0.09,4,否
C0278,19.62,122,16,1,0.14,0.316,0.38,0,否
C0279,14.59,99,8,4,0.51,0.068,0.276,3,是
C0280,51.19,6,9,15,0.87,0.167,0.22,4,否
C0281,23.83,125,28,11,0.53,0.222,0.425,0,否
C0282,39.18,161,17,10,0.62,0.008,0.412,0,是
C0283,19.52,148,16,17,0.2,0.048,0.283,3,否
C0284,40.68,384,13,36,0.42,0.028,0.636,4,否
C0285,4.12,180,12,3,0.29,0.007,0.111,3,是
C0286,5.38,92,3,2,0.48,0.069,0.202,3,否
C0287,16.9,54,24,22,0.26,0.189,0.612,4,否
C0288,44.04,219,21,15,0.59,0.089,0.7,2,否
C0289,80.5,291,81,14,0.71,0.428,0.33,0,否
C0290,41.0,375,44,8,0.68,0.087,0.508,2,否
C0291,62.46,270,25,32,0.79,0.474,0.285,4,是
C0292,10.52,34,44,12,0.45,0.046,0.521,5,是
C0293,29.65,173,17,10,0.69,0.078,0.257,2,是
C0294,7.48,29,0,14,0.68,0.067,0.018,1,是
C0295,61.95,472,2,18,0.29,0.324,0.373,1,否
C0296,30.25,324,20,8,0.3,0.192,0.063,1,是
C0297,7.33,13,9,4,0.51,0.127,0.114,0,是
C0298,34.73,95,28,0,0.74,0.034,0.354,2,是
C0299,14.73,113,23,41,0.78,0.18,0.425,2,否
C0300,9.14,242,16,16,0.61,0.113,0.001,3,是
C0301,44.29,253,10,24,0.06,0.169,0.265,1,否
C0302,33.4,166,19,5,0.08,0.053,0.26,2,是
C0303,26.55,78,5,3,0.75,0.024,0.201,1,是
C0304,41.18,83,15,11,0.26,0.064,0.1,0,是
C0305,14.46,275,22,17,0.52,0.121,0.333,5,否
C0306,23.44,140,0,0,0.5,0.135,0.285,2,是
C0307,40.97,177,28,28,0.52,0.018,0.638,5,是
C0308,31.04,203,22,22,0.26,0.112,0.09,0,否
C0309,14.96,201,3,4,0.21,0.286,0.601,0,是
C0310,11.66,349,46,36,0.25,0.141,0.13,2,是
C0311,5.97,36,16,2,0.56,0.035,0.041,1,否
C0312,28.89,72,15,7,0.79,0.083,0.158,2,否
C0313,22.49,31,36,17,0.11,0.216,0.376,2,是
C0314,31.5,267,10,28,0.43,0.22,0.541,2,是
C0315,26.96,17,5,4,0.58,0.032,0.023,1,是
C0316,52.9,346,58,9,0.73,0.061,0.021,2,是
C0317,2.24,224,14,11,0.06,0.233,0.279,5,是
C0318,2.73,186,5,15,0.15,0.12,0.088,2,是
C0319,13.18,227,23,6,0.82,0.039,0.265,3,是
C0320,59.88,297,49,24,0.62,0.116,0.188,0,是
C0321,66.65,36,28,13,0.58,0.082,0.628,3,是
C0322,23.66,122,20,2,0.31,0.131,0.019,1,否
C0323,28.74,332,29,20,0.62,0.092,0.364,2,否
C0324,43.91,300,37,3,0.85,0.117,0.301,3,是
C0325,57.2,67,9,2,0.08,0.017,0.382,4,是
C0326,7.07,91,22,8,0.37,0.138,0.184,5,是
C0327,32.72,36,37,10,0.62,0.287,0.671,4,是
C0328,10.58,152,19,9,0.23,0.053,0.179,5,是
C0329,23.71,74,8,3,0.81,0.227,0.359,1,是
C0330,16.73,49,5,0,0.32,0.043,0.043,3,是
C0331,11.31,84,21,12,0.23,0.132,0.115,1,是
C0332,35.52,4,35,13,0.73,0.049,0.139,2,否
C0333,26.32,215,0,4,0.45,0.078,0.153,4,否
C0334,0.85,290,1,30,0.15,0.31,0.442,3,否
C0335,2.14,198,10,3,0.71,0.067,0.077,5,是
C0336,19.07,263,33,4,0.14,0.211,0.356,3,是
C0337,8.04,118,15,7,0.29,0.026,0.274,4,是
C0338,0.53,23,12,5,0.49,0.021,0.181,0,否
C0339,17.18,239,5,2,0.53,0.018,0.097,3,是
C0340,2.02,245,16,8,0.68,0.168,0.193,3,是
C0341,22.24,298,7,16,0.37,0.198,0.347,5,是
C0342,2.05,158,3,8,0.6,0.15,0.013,5,否
C0343,4.66,87,36,2,0.2,0.129,0.409,0,否
C0344,27.55,352,11,17,0.77,0.015,0.308,1,是
C0345,2.83,214,5,12,0.07,0.112,0.153,0,否
C0346,25.84,360,21,13,0.38,0.12,0.193,0,是
C0347,82.47,109,59,18,0.24,0.29,0.421,2,是
C0348,40.18,279,0,0,0.72,0.043,0.445,3,否
C0349,45.96,300,18,31,0.28,0.118,0.53,3,否
C0350,8.45,225,12,11,0.28,0.112,0.179,5,是
C0351,15.68,410,13,3,0.55,0.257,0.314,1,是
C0352,5.41,117,1,10,0.62,0.016,0.117,2,是
C0353,38.2,49,14,18,0.44,0.123,0.422,5,是
C0354,9.73,802,70,25,0.14,0.411,0.635,4,否
C0355,17.26,137,3,10,0.14,0.105,0.033,4,是
C0356,1.71,226,13,6,0.37,0.111,0.224,5,是
C0357,4.49,219,14,27,0.15,0.121,0.392,1,是
C0358,0.28,393,2,12,0.73,0.097,0.638,1,是
C0359,28.06,144,22,2,0.83,0.126,0.185,5,是
C0360,1.79,104,17,11,0.39,0.123,0.227,1,是
C0361,5.32,144,6,14,0.78,0.091,0.116,1,是
C0362,24.44,106,23,1,0.46,0.095,0.265,4,否
C0363,12.75,284,7,8,0.39,0.11,0.559,0,是
C0364,9.11,275,25,20,0.14,0.216,0.344,1,是
C0365,20.19,219,16,11,0.87,0.052,0.056,5,是
C0366,25.36,136,36,24,0.69,0.226,0.009,3,否
C0367,11.57,169,1,6,0.68,0.109,0.248,1,是
C0368,19.04,241,17,8,0.09,0.098,0.08,0,是
C0369,22.42,185,20,2,0.41,0.121,0.053,4,否
C0370,62.59,500,73,12,0.49,0.161,0.714,1,是
C0371,71.33,510,55,4,0.63,0.136,0.501,3,否
C0372,22.91,159,11,9,0.75,0.021,0.134,2,是
C0373,24.73,142,45,9,0.6,0.226,0.007,3,否
C0374,63.83,361,45,0,0.4,0.226,0.103,4,否
C0375,30.46,192,4,28,0.39,0.223,0.349,4,是
C0376,26.56,247,23,7,0.62,0.12,0.268,5,否
C0377,19.47,34,25,4,0.72,0.192,0.407,0,否
C0378,13.86,76,14,8,0.85,0.052,0.12,4,是
C0379,29.92,77,24,9,0.48,0.04,0.095,4,是
C0380,19.89,134,12,14,0.01,0.145,0.035,0,是
C0381,11.95,248,14,0,0.36,0.043,0.181,0,是
C0382,40.31,76,13,13,0.75,0.086,0.05,1,是
C0383,40.05,337,43,20,0.17,0.24,0.03,3,否
C0384,32.0,224,28,5,0.56,0.177,0.126,5,是
C0385,16.6,108,7,0,0.13,0.144,0.236,0,是
C0386,0.07,50,77,19,0.65,0.41,0.436,4,否
C0387,69.67,23,39,21,0.26,0.301,0.829,1,否
C0388,70.47,414,21,15,0.4,0.019,0.548,5,是
C0389,70.59,496,54,9,0.37,0.347,0.038,0,是
C0390,20.53,367,35,2,0.04,0.065,0.142,2,是
C0391,64.96,873,3,21,0.44,0.359,1.031,4,否
C0392,24.56,98,5,4,0.85,0.057,0.236,1,是
C0393,15.53,144,31,15,0.39,0.115,0.151,3,是
C0394,5.53,221,5,1,0.55,0.05,0.065,5,否
C0395,13.19,10,8,7,0.28,0.135,0.091,2,否
C0396,11.17,59,19,6,0.29,0.014,0.247,1,是
C0397,15.0,204,4,3,0.26,0.175,0.105,1,是
C0398,0.24,158,30,4,0.59,0.341,0.67,0,否
C0399,11.37,322,32,3,0.57,0.111,0.075,2,是
C0400,18.52,144,10,11,0.61,0.083,0.051,4,否
C0401,12.26,522,26,4,0.64,0.113,0.292,4,否
C0402,23.48,255,4,11,0.06,0.081,0.025,5,是
C0403,17.44,248,4,6,0.4,0.074,0.226,2,是
C0404,25.68,92,22,16,0.79,0.263,0.614,2,是
C0405,25.0,218,14,1,0.32,0.045,0.242,4,否
C0406,5.98,76,19,3,0.03,0.035,0.153,0,是
C0407,21.09,496,23,23,0.07,0.425,0.743,1,是
C0408,12.81,12,16,7,0.46,0.133,0.244,4,是
C0409,16.93,75,24,13,0.43,0.002,0.397,3,是
C0410,22.75,44,24,6,0.11,0.249,0.294,5,是
C0411,66.71,453,16,18,0.73,0.282,0.036,4,是
C0412,10.69,178,15,3,0.26,0.13,0.149,5,否
C0413,13.28,99,5,9,0.73,0.088,0.02,2,是
C0414,6.3,103,4,9,0.54,0.039,0.113,3,否
C0415,46.64,143,2,15,0.53,0.141,0.014,0,是
C0416,2.31,247,28,8,0.43,0.139,0.255,1,否
C0417,4.91,182,2,8,0.54,0.1,0.087,2,是
C0418,70.26,367,30,41,0.84,0.419,0.321,5,否
C0419,27.98,183,8,13,0.82,0.089,0.372,3,否
C0420,19.05,148,11,12,0.47,0.142,0.223,4,是
C0421,8.6,32,22,18,0.53,0.175,0.292,5,是
C0422,59.04,189,39,20,0.17,0.219,0.619,0,否
C0423,0.43,86,24,9,0.48,0.137,0.079,2,是
C0424,23.7,205,6,6,0.45,0.131,0.157,3,是
C0425,5.98,451,15,24,0.03,0.19,0.246,3,是
C0426,37.22,240,12,15,0.89,0.118,0.259,2,否
C0427,27.67,367,0,18,0.72,0.158,0.416,5,是
C0428,40.0,185,23,14,0.04,0.076,0.269,3,否
C0429,17.56,59,25,5,0.08,0.124,0.094,4,是
C0430,22.64,121,23,0,0.69,0.1,0.059,5,否
C0431,0.96,308,5,2,0.52,0.189,0.038,1,是
C0432,25.58,123,9,2,0.58,0.047,0.036,5,否
C0433,1.27,17,22,8,0.3,0.08,0.03,4,是
C0434,3.08,206,3,33,0.12,0.076,0.332,3,是
C0435,97.82,867,79,45,0.71,0.268,0.409,3,是
C0436,65.88,54,15,26,0.31,0.259,0.289,1,是
C0437,25.43,495,46,1,0.63,0.226,0.392,3,是
C0438,11.0,247,9,7,0.6,0.013,0.1,3,否
C0439,25.86,457,64,9,0.32,0.427,0.125,3,否
C0440,7.38,247,21,9,0.04,0.02,0.152,1,否
C0441,52.51,428,1,48,0.14,0.321,1.077,5,否
C0442,44.26,324,27,16,0.16,0.044,0.872,2,是
C0443,58.82,424,31,2,0.03,0.038,0.719,3,否
C0444,68.54,196,37,30,0.78,0.343,0.324,2,是
C0445,46.82,398,5,0,0.17,0.134,0.001,3,是
C0446,0.25,39,15,6,0.19,0.02,0.257,0,否
C0447,30.42,280,13,11,0.1,0.181,0.11,2,是
C0448,44.48,239,20,14,0.72,0.1,0.193,5,是
C0449,17.09,46,16,8,0.69,0.042,0.184,3,否
C0450,41.82,312,17,2,0.77,0.057,0.399,2,否
C0451,14.66,460,12,25,0.24,0.106,0.693,3,是
C0452,23.67,196,12,13,0.75,0.041,0.216,0,是
C0453,21.96,133,44,19,0.68,0.324,0.365,1,否
C0454,47.86,696,39,54,0.46,0.395,0.232,2,否
C0455,48.55,772,28,5,0.21,0.005,0.013,0,否
C0456,20.84,768,72,48,0.38,0.013,0.589,3,是
C0457,16.74,326,8,0,0.83,0.016,0.407,1,是
C0458,66.01,675,73,19,0.41,0.072,0.29,2,是
C0459,1.42,440,52,18,0.62,0.302,0.196,4,是
C0460,4.79,97,24,3,0.76,0.096,0.018,3,否
C0461,4.74,263,7,3,0.68,0.131,0.223,4,否
