customer_id,purchase_frequency_change,recency_score,spending_trend,engagement_score,complaint_score,churn_risk_score,risk_level
C0094,96,91,24,41,52,29.3,低风险
C0095,71,44,95,58,91,22.9,低风险
C0096,73,26,61,58,68,39.9,低风险
C0097,60,92,97,35,42,24.1,低风险
C0098,61,94,31,70,88,30.7,低风险
C0099,41,53,43,48,48,56.9,持续观察
C0100,58,41,64,97,25,43.5,持续观察
C0101,42,86,72,90,71,39.9,低风险
C0102,67,69,72,60,33,46.0,持续观察
C0103,52,67,36,76,36,51.4,持续观察
C0104,60,91,84,47,99,27.5,低风险
C0105,49,89,77,96,47,30.6,低风险
C0106,97,76,56,99,28,32.1,低风险
C0107,66,44,94,40,85,31.9,低风险
C0108,76,85,61,23,23,32.0,低风险
C0109,91,35,89,34,39,42.2,持续观察
C0110,76,77,98,72,60,28.6,低风险
C0111,81,60,59,65,55,31.7,低风险
C0112,76,70,42,26,25,37.9,低风险
C0113,87,40,42,37,84,46.6,持续观察
C0114,91,98,68,40,69,28.7,低风险
C0115,44,75,95,27,83,32.7,低风险
C0116,59,66,26,78,22,51.7,持续观察
C0117,36,62,56,39,56,54.0,持续观察
C0118,99,50,35,86,22,35.7,低风险
C0119,67,34,57,74,52,51.7,持续观察
C0120,58,67,59,81,78,26.1,低风险
C0121,34,81,48,37,34,51.0,持续观察
C0122,36,89,36,98,75,33.6,低风险
C0123,54,22,39,75,80,57.2,持续观察
C0124,52,57,44,41,87,40.5,持续观察
C0125,37,77,79,27,98,31.0,低风险
C0126,49,86,57,30,90,31.9,低风险
C0127,56,64,82,31,87,30.4,低风险
C0128,26,63,58,67,81,44.7,持续观察
C0129,93,27,83,82,86,17.9,低风险
C0130,99,85,40,46,42,31.9,低风险
C0131,47,90,51,54,33,42.8,持续观察
C0132,37,80,47,21,25,48.8,持续观察
C0133,66,36,31,27,52,58.8,持续观察
C0134,42,90,98,39,28,38.6,低风险
C0135,39,55,99,27,31,46.6,持续观察
C0136,50,87,42,82,70,30.6,低风险
C0137,33,99,34,87,22,46.3,持续观察
C0138,42,40,31,50,75,60.2,重点关注
C0139,21,65,23,51,65,55.7,持续观察
C0140,48,65,54,32,55,49.2,持续观察
C0141,69,35,80,45,32,36.6,低风险
C0142,92,41,46,48,32,36.6,低风险
C0143,78,25,52,37,77,51.7,持续观察
C0144,52,75,32,88,53,35.8,低风险
C0145,67,64,56,31,62,39.8,低风险
C0146,63,77,63,21,47,41.4,持续观察
C0147,31,47,21,61,75,59.1,持续观察
C0148,61,36,57,26,66,47.8,持续观察
C0149,54,55,56,66,54,40.6,持续观察
C0150,60,31,78,73,97,43.0,持续观察
C0151,74,69,88,34,38,35.0,低风险
C0152,32,78,37,77,70,47.0,持续观察
C0153,58,31,67,52,39,49.8,持续观察
C0154,85,81,85,86,48,21.5,低风险
C0155,54,59,68,82,91,43.1,持续观察
C0156,91,21,77,67,84,38.6,低风险
C0157,52,44,54,85,57,47.1,持续观察
C0158,55,93,97,84,68,19.5,低风险
C0159,32,50,95,55,47,52.0,持续观察
C0160,75,66,77,36,52,39.0,低风险
C0161,65,79,26,21,32,55.2,持续观察
C0162,92,92,28,52,63,28.7,低风险
C0163,65,60,88,25,71,45.0,持续观察
C0164,63,69,23,62,96,43.4,持续观察
C0165,65,42,51,30,95,40.8,持续观察
C0166,93,31,24,24,60,44.9,持续观察
C0167,88,90,75,49,68,20.0,低风险
C0168,50,41,75,29,26,60.8,重点关注
C0169,43,75,63,43,55,42.8,持续观察
C0170,51,35,91,78,45,42.6,持续观察
C0171,86,77,32,86,46,24.1,低风险
C0172,35,91,23,80,43,35.8,低风险
C0173,76,70,71,45,90,28.8,低风险
C0174,43,25,94,58,52,51.1,持续观察
C0175,53,21,34,22,37,75.0,重点关注
C0176,71,81,20,57,24,37.5,低风险
C0177,67,61,84,61,20,36.7,低风险
C0178,72,62,30,67,90,27.9,低风险
C0179,74,71,80,32,22,40.0,持续观察
C0180,57,77,82,75,55,38.5,低风险
C0181,21,39,57,78,54,49.4,持续观察
C0182,88,75,88,82,70,26.0,低风险
C0183,72,86,64,99,31,29.2,低风险
C0184,69,78,93,62,34,28.5,低风险
C0185,48,67,89,94,23,36.6,低风险
C0186,93,54,87,76,75,29.3,低风险
C0187,74,27,23,40,35,57.0,持续观察
C0188,80,95,90,73,25,13.8,低风险
C0189,69,51,67,98,82,24.2,低风险
C0190,35,64,28,72,42,43.9,持续观察
C0191,89,86,66,64,96,22.4,低风险
C0192,63,46,79,55,63,33.2,低风险
C0193,35,22,71,82,20,59.5,持续观察
C0194,47,76,52,20,76,48.9,持续观察
C0195,76,84,77,86,95,23.4,低风险
C0196,45,39,67,98,46,39.1,低风险
C0197,30,90,24,52,44,60.5,重点关注
C0198,20,60,46,51,81,51.0,持续观察
C0199,88,20,60,77,37,41.4,持续观察
C0200,62,93,20,45,99,27.5,低风险
C0201,65,95,70,80,49,34.8,低风险
C0202,55,23,35,36,49,64.4,重点关注
C0203,85,90,51,92,66,29.4,低风险
C0204,76,29,66,88,41,35.4,低风险
C0205,25,48,42,48,61,56.8,持续观察
C0206,81,34,34,82,53,40.8,持续观察
C0207,46,38,45,25,82,49.8,持续观察
C0208,45,77,56,78,23,34.0,低风险
C0209,32,72,74,40,50,40.6,持续观察
C0210,95,65,21,64,70,42.4,持续观察
C0211,37,37,95,64,69,37.2,低风险
C0212,57,22,38,54,33,57.4,持续观察
C0213,25,89,51,71,27,49.7,持续观察
C0214,47,41,88,65,88,40.5,持续观察
C0215,24,74,74,85,27,34.0,低风险
C0216,78,83,75,76,30,21.5,低风险
C0217,98,60,48,61,48,26.0,低风险
C0218,92,27,55,92,74,29.4,低风险
C0219,64,84,90,96,58,20.6,低风险
C0220,72,22,72,35,32,55.0,持续观察
C0221,21,48,58,24,83,62.2,重点关注
C0222,68,89,95,20,68,35.6,低风险
C0223,92,37,30,41,38,37.2,低风险
C0224,82,77,95,67,86,17.5,低风险
C0225,89,20,49,45,71,45.6,持续观察
C0226,77,41,98,53,97,34.4,低风险
C0227,23,42,91,77,90,51.9,持续观察
C0228,49,27,72,26,39,60.4,重点关注
C0229,76,48,93,44,73,26.7,低风险
C0230,66,63,27,76,24,46.3,持续观察
C0231,37,81,39,31,98,39.4,低风险
C0232,63,38,31,50,81,55.8,持续观察
C0233,71,78,86,46,36,30.5,低风险
C0234,68,99,69,53,72,35.9,低风险
C0235,49,38,31,94,56,40.9,持续观察
C0236,71,41,73,53,38,46.1,持续观察
C0237,56,87,99,56,29,20.3,低风险
C0238,82,24,73,77,63,33.0,低风险
C0239,31,24,93,79,68,44.4,持续观察
C0240,36,44,38,45,56,68.2,重点关注
C0241,53,43,33,64,77,58.4,持续观察
C0242,47,20,71,64,34,59.7,持续观察
C0243,23,47,97,51,39,44.4,持续观察
C0244,65,66,41,88,74,27.2,低风险
C0245,33,79,23,90,32,48.0,持续观察
C0246,32,38,78,42,39,59.1,持续观察
C0247,77,33,53,84,62,46.2,持续观察
C0248,68,89,83,58,60,20.0,低风险
C0249,69,27,37,86,67,42.6,持续观察
C0250,86,56,50,64,75,29.1,低风险
C0251,40,91,61,86,87,35.4,低风险
C0252,99,29,93,82,63,35.8,低风险
C0253,70,86,22,89,92,24.5,低风险
C0254,57,32,74,73,66,33.6,低风险
C0255,45,58,29,46,69,60.4,重点关注
C0256,25,83,90,98,51,32.0,低风险
C0257,37,49,41,55,73,52.9,持续观察
C0258,25,23,42,24,58,61.0,重点关注
C0259,60,64,95,86,77,28.4,低风险
C0260,76,25,32,70,80,51.0,持续观察
C0261,69,35,59,51,91,44.0,持续观察
C0262,44,41,32,40,38,64.4,重点关注
C0263,67,40,70,36,88,31.7,低风险
C0264,43,84,83,92,41,33.6,低风险
C0265,49,49,32,45,54,50.5,持续观察
C0266,64,43,48,41,29,54.4,持续观察
C0267,62,83,90,60,34,40.2,持续观察
C0268,91,32,66,78,21,34.7,低风险
C0269,75,45,45,94,41,33.0,低风险
C0270,92,39,89,29,31,43.4,持续观察
C0271,89,80,42,24,81,36.2,低风险
C0272,52,25,94,74,64,37.8,低风险
C0273,64,62,75,45,77,25.8,低风险
C0274,26,68,38,23,39,53.2,持续观察
C0275,37,28,69,46,70,46.2,持续观察
C0276,89,56,54,77,26,28.4,低风险
C0277,64,35,68,22,43,44.9,持续观察
C0278,56,23,65,69,86,35.5,低风险
C0279,40,51,89,45,89,32.8,低风险
C0280,98,36,72,37,72,40.4,持续观察
C0281,63,60,50,26,53,45.9,持续观察
C0282,49,64,41,64,52,52.3,持续观察
C0283,30,35,86,32,42,54.0,持续观察
C0284,27,39,27,25,77,59.3,持续观察
C0285,24,61,38,54,87,55.2,持续观察
C0286,27,29,50,72,88,53.0,持续观察
C0287,24,71,51,87,99,48.9,持续观察
C0288,29,79,98,61,59,32.9,低风险
C0289,34,67,74,23,66,44.2,持续观察
C0290,75,42,50,79,62,34.9,低风险
C0291,74,52,86,64,80,33.0,低风险
C0292,22,96,70,91,61,39.7,低风险
C0293,60,44,93,94,81,38.2,低风险
C0294,29,69,46,85,86,45.5,持续观察
C0295,26,89,67,41,74,33.0,低风险
C0296,82,98,62,31,68,33.1,低风险
C0297,82,74,70,70,68,20.6,低风险
C0298,45,87,88,36,97,39.0,低风险
C0299,53,97,94,55,52,36.6,低风险
C0300,91,23,90,68,47,36.0,低风险
C0301,58,47,91,35,76,44.8,持续观察
C0302,79,48,69,94,60,40.4,持续观察
C0303,88,67,80,63,98,13.6,低风险
C0304,45,91,60,41,23,39.3,低风险
C0305,81,32,70,27,39,47.8,持续观察
C0306,29,62,97,37,54,35.4,低风险
C0307,73,28,43,99,72,40.4,持续观察
C0308,50,59,49,91,58,51.0,持续观察
C0309,57,65,71,57,72,34.7,低风险
C0310,44,77,69,48,29,52.6,持续观察
C0311,96,75,76,96,99,11.9,低风险
C0312,84,31,81,92,84,31.6,低风险
C0313,69,44,98,21,20,52.6,持续观察
C0314,43,35,72,78,72,39.0,低风险
C0315,46,70,87,61,65,25.7,低风险
C0316,69,99,96,40,45,31.8,低风险
C0317,69,91,88,21,21,34.7,低风险
C0318,34,72,50,24,47,56.5,持续观察
C0319,36,71,95,36,46,40.4,持续观察
C0320,48,86,49,43,47,51.1,持续观察
C0321,24,43,29,27,50,58.2,持续观察
C0322,30,33,63,49,66,49.2,持续观察
C0323,99,41,25,69,26,38.1,低风险
C0324,71,50,46,41,91,35.8,低风险
C0325,53,77,39,78,94,33.9,低风险
C0326,52,88,39,43,67,50.4,持续观察
C0327,68,38,31,45,45,53.6,持续观察
C0328,50,72,68,80,74,26.0,低风险
C0329,37,21,71,27,26,70.8,重点关注
C0330,24,72,29,31,76,52.8,持续观察
C0331,49,86,24,33,77,47.3,持续观察
C0332,64,66,83,49,20,29.3,低风险
C0333,57,72,77,74,91,39.3,低风险
C0334,48,76,27,80,48,34.4,低风险
C0335,55,44,49,81,41,38.4,低风险
C0336,28,54,36,50,59,50.5,持续观察
C0337,42,48,86,46,81,43.2,持续观察
C0338,22,95,40,20,33,54.4,持续观察
C0339,75,36,35,60,21,52.4,持续观察
C0340,59,99,46,33,54,31.0,低风险
C0341,75,68,25,93,90,37.6,低风险
C0342,77,75,61,69,86,28.0,低风险
C0343,50,92,35,61,98,42.0,持续观察
C0344,30,22,64,90,41,65.1,重点关注
C0345,61,41,22,59,37,45.5,持续观察
C0346,22,33,59,33,65,68.9,重点关注
C0347,76,22,39,30,82,42.2,持续观察
C0348,33,57,26,82,55,48.8,持续观察
C0349,65,40,78,68,65,44.2,持续观察
C0350,38,70,30,56,56,57.1,持续观察
C0351,79,43,71,29,37,51.3,持续观察
C0352,50,64,22,73,62,57.4,持续观察
C0353,55,88,40,26,48,35.8,低风险
C0354,51,63,72,31,95,39.4,低风险
C0355,82,66,49,74,37,32.3,低风险
C0356,45,76,30,55,34,59.8,持续观察
C0357,84,38,44,26,78,36.8,低风险
C0358,21,53,69,43,47,46.5,持续观察
C0359,89,22,28,53,72,46.0,持续观察
C0360,64,58,64,84,34,28.5,低风险
C0361,97,94,48,48,62,22.4,低风险
C0362,44,79,81,45,52,35.9,低风险
C0363,59,29,34,93,21,44.2,持续观察
C0364,37,59,38,84,78,47.1,持续观察
C0365,31,21,34,64,27,68.4,重点关注
C0366,43,64,58,36,52,50.9,持续观察
C0367,98,46,54,55,54,40.6,持续观察
C0368,62,72,32,92,37,39.5,低风险
C0369,51,28,35,82,40,46.4,持续观察
C0370,66,20,86,42,83,39.4,低风险
C0371,64,52,74,85,47,35.6,低风险
C0372,54,57,84,61,64,33.2,低风险
C0373,96,76,54,90,39,30.0,低风险
C0374,28,52,35,94,23,65.2,重点关注
C0375,29,67,20,90,55,61.6,重点关注
C0376,84,22,69,62,96,29.6,低风险
C0377,78,51,33,74,71,37.0,低风险
C0378,76,96,81,75,58,26.0,低风险
C0379,29,40,26,98,90,62.4,重点关注
C0380,38,87,42,50,31,43.8,持续观察
C0381,69,36,82,75,74,40.2,持续观察
C0382,87,61,48,93,67,27.4,低风险
C0383,24,87,41,67,28,54.0,持续观察
C0384,48,31,99,71,31,44.3,持续观察
C0385,24,64,25,91,99,49.2,持续观察
C0386,79,55,48,20,88,47.1,持续观察
C0387,84,99,21,21,76,26.1,低风险
C0388,47,70,83,61,47,33.9,低风险
C0389,20,26,55,93,36,49.9,持续观察
C0390,48,52,39,28,41,65.5,重点关注
C0391,70,67,74,50,54,44.6,持续观察
C0392,55,85,56,21,78,30.1,低风险
C0393,51,52,71,43,98,34.2,低风险
C0394,83,97,88,62,38,22.2,低风险
C0395,33,46,89,89,69,46.6,持续观察
C0396,51,66,41,91,45,41.8,持续观察
C0397,28,85,34,62,79,48.4,持续观察
C0398,30,62,66,70,63,44.5,持续观察
C0399,67,99,90,65,75,23.9,低风险
C0400,70,38,88,94,62,24.6,低风险
C0401,23,87,71,20,42,55.0,持续观察
C0402,60,29,58,86,93,45.0,持续观察
C0403,44,41,21,20,41,72.2,重点关注
C0404,36,95,64,82,66,31.8,低风险
C0405,66,85,43,95,74,19.7,低风险
C0406,27,21,80,81,30,47.5,持续观察
C0407,77,37,84,80,74,40.4,持续观察
C0408,20,99,72,59,45,32.5,低风险
C0409,21,38,40,48,20,61.0,重点关注
C0410,29,49,86,54,81,49.6,持续观察
C0411,46,25,20,30,40,60.4,重点关注
C0412,32,46,78,30,27,58.1,持续观察
C0413,82,34,66,82,39,46.5,持续观察
C0414,30,50,37,88,64,57.5,持续观察
C0415,33,63,52,75,98,49.9,持续观察
C0416,99,95,34,26,84,37.4,低风险
C0417,45,29,43,70,79,48.2,持续观察
C0418,88,40,55,58,86,40.3,持续观察
C0419,58,66,79,61,75,26.7,低风险
C0420,47,74,53,91,50,41.2,持续观察
C0421,36,55,70,72,41,38.6,低风险
C0422,56,93,59,40,81,27.1,低风险
C0423,46,77,41,49,75,44.9,持续观察
C0424,95,38,35,97,91,37.4,低风险
C0425,86,83,61,20,27,37.6,低风险
C0426,87,29,35,43,81,48.1,持续观察
C0427,66,68,24,25,97,51.0,持续观察
C0428,94,73,25,25,43,43.5,持续观察
C0429,53,80,61,88,41,27.6,低风险
C0430,37,78,49,81,34,36.0,低风险
C0431,54,21,51,54,47,63.6,重点关注
C0432,37,94,72,98,41,40.2,持续观察
C0433,89,27,38,54,50,50.8,持续观察
C0434,53,38,70,67,92,43.4,持续观察
C0435,52,99,47,91,81,32.5,低风险
C0436,91,87,66,62,88,20.7,低风险
C0437,62,33,91,54,58,49.0,持续观察
C0438,46,41,20,24,59,68.4,重点关注
C0439,67,36,87,50,88,33.2,低风险
C0440,88,82,76,50,74,19.0,低风险
C0441,90,45,41,27,90,35.5,低风险
C0442,41,55,77,25,83,49.5,持续观察
C0443,53,64,32,72,27,40.2,持续观察
C0444,62,49,58,99,90,38.7,低风险
C0445,96,40,46,63,63,27.2,低风险
C0446,35,39,58,68,57,52.2,持续观察
C0447,33,61,91,27,40,38.6,低风险
C0448,58,75,31,83,23,42.9,持续观察
C0449,90,31,43,23,51,55.1,持续观察
C0450,31,27,37,51,74,57.5,持续观察
C0451,74,82,34,72,79,32.8,低风险
C0452,25,75,79,86,78,33.2,低风险
C0453,59,26,35,82,86,45.9,持续观察
C0454,32,81,93,99,24,35.3,低风险
C0455,88,80,66,79,91,29.4,低风险
C0456,43,29,43,96,56,58.2,持续观察
C0457,93,69,64,52,46,21.7,低风险
C0458,78,39,38,41,32,57.9,持续观察
C0459,65,47,60,50,25,47.8,持续观察
C0460,92,33,50,43,84,42.3,持续观察
C0461,63,95,35,22,49,42.2,持续观察
C0462,95,27,42,52,94,43.2,持续观察
C0463,30,26,97,45,71,45.2,持续观察
C0464,80,24,42,70,60,52.1,持续观察
C0465,55,20,60,49,99,50.2,持续观察
C0466,91,92,37,54,34,27.8,低风险
C0467,29,29,55,44,24,65.1,重点关注
C0468,97,77,31,47,34,32.0,低风险
C0469,20,84,94,45,20,42.4,持续观察
C0470,82,79,88,92,34,28.8,低风险
C0471,31,39,70,27,79,65.0,重点关注
C0472,24,77,51,34,67,59.6,持续观察
C0473,97,62,90,68,73,25.9,低风险
C0474,55,48,55,27,74,44.1,持续观察
C0475,36,21,59,74,91,51.0,持续观察
C0476,77,45,89,77,46,26.7,低风险
C0477,41,94,57,22,49,46.6,持续观察
C0478,50,78,73,28,95,39.2,低风险
C0479,45,20,23,33,79,58.0,持续观察
C0480,32,50,65,39,85,43.6,持续观察
C0481,82,57,82,23,65,38.8,低风险
C0482,86,41,93,43,71,36.8,低风险
C0483,82,85,69,95,54,20.7,低风险
C0484,30,66,49,47,61,58.6,持续观察
C0485,88,20,92,50,75,26.2,低风险
C0486,83,69,35,86,64,23.5,低风险
C0487,87,55,71,83,71,26.4,低风险
C0488,51,64,23,36,42,61.5,重点关注
C0489,93,55,45,25,48,38.8,低风险
C0490,29,53,48,79,48,54.8,持续观察
C0491,73,28,30,30,76,56.0,持续观察
C0492,74,95,43,57,38,40.1,持续观察
C0493,81,23,70,53,27,50.3,持续观察
C0494,74,98,61,66,69,33.3,低风险
C0495,54,82,58,51,26,37.4,低风险
C0496,86,23,26,76,30,38.8,低风险
C0497,84,24,37,65,86,39.0,低风险
C0498,36,29,22,54,85,51.0,持续观察
C0499,61,63,82,41,47,32.7,低风险
C0500,78,59,39,35,75,47.3,持续观察
C0501,89,55,92,95,47,22.2,低风险
C0502,30,54,93,24,94,41.9,持续观察
C0503,97,78,89,45,59,16.0,低风险
C0504,47,84,36,96,21,45.2,持续观察
C0505,58,50,98,43,95,29.6,低风险
C0506,73,65,78,86,80,30.3,低风险
C0507,30,68,73,51,95,44.2,持续观察
C0508,77,25,32,42,44,56.6,持续观察
C0509,59,89,61,68,73,38.3,低风险
C0510,23,38,63,81,36,62.2,重点关注
C0511,83,61,99,96,67,29.0,低风险
C0512,67,49,86,98,31,29.7,低风险
C0513,89,45,91,85,80,21.1,低风险
C0514,50,22,39,30,21,65.1,重点关注
C0515,21,52,66,99,99,34.8,低风险
C0516,62,69,43,37,84,51.6,持续观察
C0517,60,50,70,29,71,45.0,持续观察
C0518,79,87,37,96,53,18.5,低风险
C0519,94,29,42,79,64,32.9,低风险
C0520,65,41,20,27,20,60.2,重点关注
C0521,59,82,85,90,71,18.2,低风险
C0522,78,73,24,67,86,40.9,持续观察
C0523,64,70,37,60,95,38.4,低风险
C0524,61,23,99,27,75,43.6,持续观察
C0525,40,56,93,56,77,42.3,持续观察
C0526,22,90,54,56,69,37.8,低风险
C0527,85,82,44,83,44,25.3,低风险
C0528,30,70,43,78,31,40.1,持续观察
C0529,43,27,32,64,92,62.2,重点关注
C0530,69,20,40,35,84,56.6,持续观察
C0531,40,27,58,45,75,51.4,持续观察
C0532,44,74,53,50,69,33.3,低风险
C0533,23,28,38,46,47,73.9,重点关注
C0534,62,70,47,62,22,51.0,持续观察
C0535,66,35,30,34,57,59.6,持续观察
C0536,42,72,68,77,83,30.0,低风险
C0537,79,78,54,68,73,18.5,低风险
C0538,40,64,95,98,55,42.8,持续观察
C0539,85,56,76,44,63,36.4,低风险
C0540,70,85,47,87,63,26.0,低风险
C0541,34,83,85,55,88,42.0,持续观察
C0542,77,55,84,99,72,19.3,低风险
C0543,45,95,92,66,32,36.2,低风险
C0544,78,69,41,78,63,38.2,低风险
C0545,64,72,70,71,23,40.8,持续观察
C0546,85,76,28,59,89,36.1,低风险
C0547,54,38,90,62,70,33.0,低风险
C0548,83,45,55,75,89,25.7,低风险
C0549,96,87,73,22,30,34.6,低风险
C0550,46,62,57,90,73,37.5,低风险
C0551,99,77,85,31,81,15.3,低风险
C0552,50,96,62,84,78,28.2,低风险
C0553,31,78,24,62,80,43.1,持续观察
C0554,64,65,56,89,59,39.1,低风险
C0555,51,87,77,65,23,45.5,持续观察
C0556,73,59,82,79,46,36.5,低风险
C0557,85,32,70,80,35,39.0,低风险
C0558,51,28,91,68,26,42.7,持续观察
C0559,34,85,62,44,30,36.6,低风险
C0560,74,72,86,22,91,39.2,低风险
C0561,60,95,86,87,83,10.7,低风险
C0562,59,23,84,82,71,30.4,低风险
C0563,91,33,81,49,25,42.4,持续观察
C0564,68,27,82,23,67,38.3,低风险
C0565,57,81,49,97,88,23.5,低风险
C0566,75,64,57,90,25,26.1,低风险
C0567,53,86,70,40,80,25.6,低风险
C0568,20,81,57,90,85,34.4,低风险
C0569,29,97,86,20,92,35.6,低风险
C0570,59,89,96,79,98,13.2,低风险
C0571,35,55,67,53,72,43.2,持续观察
C0572,65,20,31,22,47,60.3,重点关注
C0573,43,79,39,37,24,50.6,持续观察
C0574,33,93,91,62,77,36.7,低风险
C0575,58,32,21,95,43,47.9,持续观察
C0576,37,31,94,97,50,33.8,低风险
C0577,60,94,74,60,60,29.7,低风险
C0578,75,36,25,43,87,53.4,持续观察
C0579,55,66,81,43,65,41.8,持续观察
C0580,43,72,68,22,29,54.3,持续观察
C0581,48,86,73,78,56,25.2,低风险
C0582,41,29,29,77,40,68.1,重点关注
C0583,30,65,43,92,40,51.4,持续观察
C0584,60,23,48,43,99,43.3,持续观察
C0585,68,76,25,85,29,48.0,持续观察
C0586,30,57,77,59,43,56.2,持续观察
C0587,71,31,97,90,31,45.0,持续观察
C0588,86,50,76,28,39,43.4,持续观察
C0589,94,21,22,79,89,34.4,低风险
C0590,27,20,43,58,27,68.9,重点关注
C0591,50,44,38,52,97,49.9,持续观察
C0592,93,24,28,53,24,59.2,持续观察
C0593,25,67,49,81,73,49.5,持续观察
C0594,90,33,96,80,55,29.0,低风险
C0595,32,71,63,46,57,49.4,持续观察
C0596,25,93,72,36,22,49.2,持续观察
C0597,86,40,87,79,55,33.4,低风险
C0598,46,44,79,61,41,49.2,持续观察
C0599,64,86,42,66,27,37.3,低风险
C0600,45,69,80,72,80,25.5,低风险
C0601,23,52,26,40,97,68.2,重点关注
C0602,56,36,63,27,26,64.0,重点关注
C0603,40,89,74,92,87,30.4,低风险
C0604,47,53,94,77,81,40.2,持续观察
C0605,51,45,58,87,38,42.0,持续观察
C0606,72,61,78,82,66,24.7,低风险
C0607,52,50,24,78,43,50.1,持续观察
C0608,45,70,61,49,99,37.6,低风险
C0609,36,55,33,44,25,49.8,持续观察
C0610,75,32,46,75,27,36.3,低风险
C0611,49,99,35,53,44,50.2,持续观察
C0612,24,32,21,69,93,62.0,重点关注
C0613,25,51,38,21,60,57.0,持续观察
C0614,81,24,42,96,77,34.2,低风险
C0615,29,31,60,72,79,51.8,持续观察
C0616,89,78,33,60,22,30.0,低风险
