customer_id,membership_level,join_date,points_balance,points_earned_total,points_redeemed,membership_years,annual_spend,referral_count,last_activity_date
C0108,普通,2023-03-10,4166,30218,12694,1.8,2783.12,11,2024-01-31
C0109,银卡,2025-03-11,6868,19529,18894,1.9,2892.78,1,2025-11-06
C0110,银卡,2023-10-18,13633,16199,3442,3.3,2245.73,15,2024-12-05
C0111,银卡,2023-03-31,3493,9220,4850,3.3,2681.28,14,2025-02-02
C0112,银卡,2025-09-30,3313,53128,33220,1.5,3508.86,11,2025-03-23
C0113,黑卡,2024-10-26,33560,81921,44283,0.6,21809.66,4,2024-12-19
C0114,金卡,2024-04-02,23083,44631,17587,3.6,19641.25,11,2024-03-30
C0115,银卡,2025-08-18,11430,49252,44584,3.7,3592.81,20,2025-07-20
C0116,银卡,2024-08-08,13560,44815,1620,1.0,7600.09,14,2024-07-14
C0117,银卡,2022-10-21,11470,54313,49690,5.0,4162.71,4,2025-03-29
C0118,普通,2023-07-24,2188,44185,13318,3.0,1185.24,7,2025-07-09
C0119,银卡,2022-11-03,6938,17211,341,3.4,4820.64,2,2024-11-06
C0120,普通,2023-05-25,4734,16142,9975,1.9,1479.07,12,2025-04-05
C0121,银卡,2025-03-12,6748,25249,16628,1.7,6595.83,6,2025-03-29
C0122,银卡,2025-01-13,2154,11729,4224,3.9,2646.64,3,2024-04-02
C0123,普通,2023-07-18,1429,9803,6229,1.2,1909.3,12,2025-08-30
C0124,黑卡,2025-05-05,61701,96163,69261,3.3,47451.0,0,2025-06-25
C0125,黑卡,2024-06-03,92951,111451,45727,3.6,35897.29,6,2025-07-06
C0126,金卡,2025-04-13,35049,84912,54638,2.1,19391.73,15,2025-05-29
C0127,银卡,2024-04-04,13504,49088,747,2.8,2884.85,20,2024-08-30
C0128,金卡,2024-01-20,38362,87293,56868,4.1,15478.01,16,2025-03-31
C0129,普通,2023-03-30,4776,18964,12417,1.2,2389.56,2,2024-10-07
C0130,金卡,2022-10-26,37749,57857,47419,2.0,6199.77,2,2024-09-08
C0131,普通,2024-11-20,4914,48452,38674,2.5,1546.19,20,2024-09-27
C0132,金卡,2024-10-31,21355,60789,47770,2.0,6415.29,1,2024-12-29
C0133,普通,2022-07-17,1375,12445,9788,2.3,2337.36,10,2024-02-14
C0134,金卡,2022-04-21,47345,78875,23854,0.5,7447.15,14,2025-09-12
C0135,黑卡,2022-08-25,75478,100584,85190,1.1,20383.75,0,2025-02-16
C0136,普通,2022-11-24,1914,28897,23521,0.7,2673.26,6,2025-06-04
C0137,银卡,2025-07-14,8592,44952,26720,1.5,7438.11,18,2024-11-22
C0138,黑卡,2022-12-13,80295,83594,8870,4.8,33935.71,19,2025-09-25
C0139,银卡,2025-11-13,4056,41362,14318,0.7,3421.13,12,2024-08-07
C0140,金卡,2024-05-16,47269,88553,68079,2.2,15941.19,6,2025-05-30
C0141,银卡,2025-05-09,9193,43365,8664,2.6,2158.49,1,2024-02-11
C0142,银卡,2022-06-02,4043,20791,13427,4.3,4317.22,13,2025-02-08
C0143,普通,2024-03-09,535,29201,25617,4.9,1208.21,12,2024-06-10
C0144,普通,2024-03-01,4438,47457,35904,1.0,1893.64,14,2024-11-27
C0145,金卡,2025-05-23,22574,68166,62437,2.1,10937.82,0,2024-02-29
C0146,银卡,2024-08-16,1532,4863,276,3.5,6027.18,0,2024-06-02
C0147,银卡,2025-01-11,8552,14079,10236,2.8,7620.86,11,2024-09-02
C0148,银卡,2023-06-08,11012,52646,50300,3.8,4225.87,19,2024-02-16
C0149,银卡,2025-02-27,5155,38426,29023,4.2,3943.05,19,2025-06-07
C0150,金卡,2022-02-01,28379,30680,28939,1.0,19154.09,8,2025-08-07
C0151,黑卡,2025-10-31,49503,67598,57764,2.8,35322.13,12,2025-10-22
C0152,银卡,2022-09-20,10635,11266,7474,3.3,2306.33,19,2025-08-28
C0153,金卡,2025-10-30,10144,23612,14386,4.0,19573.35,12,2025-11-20
C0154,金卡,2025-01-20,34808,47788,39068,2.8,8971.44,12,2025-02-03
C0155,银卡,2023-07-28,14914,34675,24548,4.6,3996.98,19,2024-10-14
C0156,黑卡,2025-08-27,53288,89665,61392,2.0,15231.59,7,2025-02-06
C0157,普通,2023-12-04,4197,4625,334,2.4,1746.05,4,2025-09-14
C0158,普通,2022-09-06,1538,6355,6200,2.4,2420.4,7,2025-10-17
C0159,金卡,2023-09-03,27705,49670,42877,3.7,14480.01,6,2024-06-18
C0160,银卡,2024-06-16,14438,28901,6721,4.1,6032.99,14,2024-09-28
C0161,金卡,2022-12-03,22538,51384,37322,4.3,18921.05,1,2024-08-15
C0162,金卡,2024-08-15,23210,72314,53250,1.5,9029.43,0,2024-11-01
C0163,普通,2022-01-26,2456,18416,4728,1.1,2115.42,15,2024-08-25
C0164,金卡,2023-07-05,43907,68565,49315,2.9,12834.22,3,2025-01-01
C0165,银卡,2024-10-29,18655,53291,14602,1.8,7146.95,10,2024-09-14
C0166,银卡,2023-01-30,8539,34796,32571,1.7,3150.12,16,2025-06-25
C0167,银卡,2024-11-30,8803,35133,30699,3.4,6339.05,0,2025-02-19
C0168,黑卡,2022-08-08,63731,112777,77235,0.7,17160.07,0,2025-09-01
C0169,普通,2025-08-01,1709,33657,12041,3.0,2195.94,18,2024-12-03
C0170,银卡,2023-09-05,16487,23424,14550,4.1,4466.36,15,2024-06-30
C0171,金卡,2025-08-22,34309,57079,4571,2.4,6409.24,2,2024-04-24
C0172,金卡,2024-11-25,16719,38203,5596,2.0,8491.21,8,2024-07-10
C0173,金卡,2025-06-28,44525,61743,3615,2.6,16385.62,20,2024-04-14
C0174,普通,2023-02-17,3123,21085,14345,3.3,1110.49,1,2025-12-03
C0175,普通,2022-12-01,3573,30990,24880,4.2,1913.91,17,2024-12-30
C0176,银卡,2024-02-23,9336,10469,3905,4.1,6325.24,13,2025-02-02
C0177,金卡,2022-12-12,12443,35156,23435,4.3,19762.71,6,2024-02-02
C0178,普通,2025-01-24,4159,20318,4037,1.8,2587.87,7,2024-08-28
C0179,普通,2024-12-25,3560,42049,8520,1.9,2870.1,5,2025-05-31
C0180,黑卡,2022-01-23,77444,87652,72600,0.6,29843.11,6,2025-04-07
C0181,普通,2025-05-31,2359,28211,19564,1.2,2822.83,9,2024-03-06
C0182,黑卡,2023-10-29,53033,55813,27488,4.9,15608.02,6,2024-01-06
C0183,金卡,2024-10-07,28630,69038,22595,3.6,19257.24,0,2025-06-17
C0184,金卡,2022-02-09,26324,55090,12283,1.2,8572.66,12,2025-07-13
C0185,普通,2022-08-31,4604,36459,2128,2.9,655.17,10,2024-02-16
C0186,普通,2024-01-18,1446,19065,13332,4.3,1610.31,17,2024-08-02
C0187,金卡,2023-10-13,35147,84250,70731,1.4,19284.57,15,2024-12-04
C0188,金卡,2023-05-24,18752,45256,42805,0.8,15471.48,9,2024-11-13
C0189,金卡,2022-05-02,46338,87921,22010,4.4,11605.75,9,2025-03-05
C0190,普通,2023-06-08,2701,48709,18836,1.6,1644.78,17,2025-09-28
C0191,金卡,2025-03-28,32513,41642,13219,0.8,14476.89,16,2024-10-24
C0192,金卡,2022-07-10,11364,43954,10745,2.2,12043.32,17,2025-01-25
C0193,金卡,2022-07-09,39475,48490,15193,1.5,19139.71,6,2025-03-13
C0194,金卡,2024-10-11,27628,30878,6310,0.8,12471.18,19,2024-01-01
C0195,金卡,2022-05-26,23382,64712,44853,4.3,18847.62,20,2024-11-02
C0196,银卡,2025-01-07,12141,34048,15850,1.0,2402.81,5,2025-08-24
C0197,普通,2022-10-13,177,49388,3400,2.9,1351.9,7,2024-03-01
C0198,银卡,2022-10-15,19927,33541,9378,3.6,2646.89,14,2024-08-05
C0199,普通,2025-10-13,2845,28837,7067,2.2,596.68,10,2025-05-03
C0200,银卡,2024-09-10,6344,52107,40421,2.2,3243.24,19,2025-02-16
C0201,银卡,2025-02-24,19331,39020,38626,3.1,7090.06,0,2024-09-22
C0202,普通,2022-12-07,4284,45281,15059,1.0,1132.13,18,2025-03-27
C0203,普通,2023-07-26,3057,40734,16530,1.7,2029.0,15,2024-10-09
C0204,普通,2024-12-30,4987,9213,4586,1.0,1642.74,5,2025-04-15
C0205,金卡,2025-06-02,27824,34941,24843,3.9,14387.86,4,2025-03-16
C0206,黑卡,2024-06-12,92862,132237,5913,3.5,46291.64,16,2025-08-19
C0207,普通,2023-03-15,67,45444,26288,2.3,2780.91,10,2024-05-05
C0208,黑卡,2025-01-25,62602,72739,3608,2.2,28383.74,17,2025-11-03
C0209,银卡,2025-11-16,19655,66324,49525,0.6,6368.7,4,2024-03-24
C0210,普通,2023-03-14,3497,38377,37093,2.5,1878.08,11,2025-03-12
C0211,普通,2026-01-13,4956,27929,8473,4.0,984.09,17,2024-03-24
C0212,银卡,2023-10-05,14826,41715,14848,0.9,3426.02,10,2024-07-09
C0213,金卡,2024-04-18,28571,57798,44567,2.8,15607.61,8,2024-06-30
C0214,金卡,2025-10-26,31414,79937,302,4.2,9236.95,11,2024-04-28
C0215,普通,2025-08-25,1716,42876,26137,1.1,2336.73,10,2024-12-12
C0216,普通,2024-02-27,2643,47491,40106,1.0,2637.92,3,2024-02-15
C0217,银卡,2024-06-17,4149,14312,5632,3.1,2435.41,6,2024-08-31
C0218,普通,2024-12-18,3852,36805,8553,4.1,1990.67,19,2025-08-11
C0219,普通,2024-07-29,3316,27299,6249,1.1,1944.98,3,2025-11-27
C0220,普通,2022-09-20,2688,51144,22349,1.9,1444.81,18,2025-02-18
C0221,金卡,2023-05-30,12936,15826,7170,4.8,15083.17,13,2025-12-16
C0222,黑卡,2023-05-02,63897,75184,70475,4.8,20134.71,0,2024-11-16
C0223,银卡,2022-05-31,16004,21706,12838,3.5,2014.67,6,2024-12-25
C0224,黑卡,2023-11-28,46331,69854,42351,1.1,26801.13,9,2025-07-18
C0225,普通,2022-02-18,4501,25636,25510,1.9,562.23,16,2025-02-22
C0226,银卡,2025-04-22,18138,65597,18425,2.7,2510.24,5,2025-12-28
C0227,普通,2025-02-26,1649,44282,39242,3.0,933.34,7,2025-05-29
C0228,银卡,2023-05-04,1148,44263,20022,3.5,4507.42,13,2025-12-29
C0229,黑卡,2025-04-27,34932,49286,5920,1.5,45306.22,15,2025-12-19
C0230,银卡,2023-04-09,12148,48756,8948,0.8,7386.29,17,2024-03-12
C0231,银卡,2022-02-02,9977,26192,16575,0.7,2755.54,17,2025-10-15
C0232,银卡,2022-06-23,5468,6853,2815,1.7,2871.91,6,2025-07-30
C0233,普通,2025-12-22,4509,48752,15888,1.8,1082.93,17,2025-10-16
C0234,金卡,2025-08-10,43335,76014,63228,1.4,12486.21,15,2024-02-15
C0235,银卡,2022-05-11,15920,45772,3182,0.8,6491.59,6,2024-02-13
C0236,银卡,2023-04-28,7955,30349,1081,1.0,3090.99,12,2024-11-05
C0237,银卡,2022-05-25,10003,31076,25738,4.7,6676.42,18,2024-05-05
C0238,银卡,2022-03-27,10332,46412,25070,5.0,3893.34,20,2024-11-17
C0239,普通,2023-11-22,3292,12485,4340,3.0,2051.11,6,2025-06-17
C0240,金卡,2022-06-08,34726,40681,16633,1.0,10538.11,4,2025-09-08
C0241,普通,2024-12-12,4229,14730,8700,0.5,2338.35,7,2024-08-14
C0242,金卡,2023-05-18,38418,63833,58050,4.9,13496.27,17,2024-08-08
C0243,金卡,2023-07-28,38160,50213,36417,4.6,12228.66,0,2024-08-09
C0244,金卡,2025-10-26,39489,66903,44083,3.6,8331.21,1,2025-01-16
C0245,银卡,2024-09-21,18658,35785,18826,1.5,5285.01,8,2024-05-14
C0246,银卡,2023-03-26,19985,34341,31383,1.9,2871.76,7,2025-07-10
C0247,普通,2025-01-13,2115,42017,22324,1.0,1500.57,13,2025-03-01
C0248,金卡,2022-10-16,39948,64347,16083,4.4,8110.16,8,2025-11-08
C0249,普通,2025-03-31,134,26295,3494,3.5,2232.42,14,2025-02-14
C0250,银卡,2025-04-16,14388,45794,7631,1.9,5111.32,11,2024-01-02
C0251,普通,2024-09-09,872,43003,37922,2.5,2234.25,16,2024-04-12
C0252,普通,2023-05-28,3748,37402,34097,2.8,2356.26,9,2024-08-16
C0253,银卡,2024-08-26,1729,19326,321,2.4,7759.91,13,2025-06-11
C0254,普通,2024-04-27,3549,22560,8386,3.1,2952.13,13,2024-11-17
C0255,金卡,2023-02-14,48288,97434,21852,1.7,8343.75,8,2024-11-19
C0256,普通,2022-07-22,421,26435,11865,0.7,2940.1,16,2024-01-01
C0257,普通,2022-07-29,696,961,358,5.0,1883.52,13,2024-01-27
C0258,银卡,2025-10-08,9547,38863,20382,2.2,7409.22,15,2024-06-20
C0259,普通,2024-06-20,3607,40484,9382,1.0,1146.72,8,2025-08-23
C0260,普通,2024-01-19,672,40716,34695,3.5,2259.22,3,2024-12-12
C0261,金卡,2024-06-05,15294,16860,211,2.8,11119.45,12,2025-05-08
C0262,普通,2024-05-17,215,31804,10616,2.9,1948.97,7,2024-07-16
C0263,金卡,2024-09-06,24083,46687,16225,0.8,7922.96,15,2025-06-15
C0264,普通,2022-04-23,4289,9775,7275,1.4,2702.6,2,2024-01-12
C0265,普通,2025-10-22,2135,45901,26882,1.7,1727.67,4,2024-04-18
C0266,金卡,2025-09-27,39362,76331,39673,4.1,6183.97,1,2024-02-01
C0267,普通,2025-08-22,840,46616,8651,3.9,1919.67,12,2024-03-11
C0268,普通,2022-07-22,2758,40181,23931,2.3,2546.18,7,2024-07-07
C0269,银卡,2022-05-13,13851,20508,10912,1.9,6931.49,3,2024-10-28
C0270,普通,2024-04-12,3935,43825,1957,1.1,2116.83,14,2024-12-28
C0271,金卡,2023-12-06,33494,66681,62871,3.9,18405.63,10,2025-04-21
C0272,普通,2022-08-13,3431,7769,4564,2.6,2877.02,11,2024-04-06
C0273,金卡,2023-05-25,38320,68309,55610,3.5,12159.45,5,2025-07-08
C0274,金卡,2023-02-22,31351,63122,36087,2.6,15726.84,18,2024-04-04
C0275,银卡,2023-01-30,1001,25653,17368,1.7,3542.42,14,2025-01-18
C0276,黑卡,2025-01-03,74394,98763,83563,0.7,43579.94,15,2025-07-26
C0277,银卡,2024-07-11,3509,8099,7869,3.8,4055.85,12,2024-02-26
C0278,黑卡,2022-11-08,96215,106353,58540,0.6,27662.55,1,2025-01-29
C0279,普通,2024-06-03,3460,41085,35674,1.5,1043.8,3,2025-10-31
C0280,金卡,2023-01-23,11310,55816,26010,5.0,13701.57,8,2024-04-02
C0281,银卡,2023-08-17,4143,49331,1796,2.5,6169.26,11,2025-09-04
C0282,银卡,2024-08-30,13594,31869,22240,1.7,4815.64,16,2024-10-29
C0283,银卡,2023-06-12,17102,36793,11824,3.3,5284.73,9,2025-09-14
C0284,金卡,2022-06-11,29171,35560,2755,3.3,13508.8,0,2025-08-04
C0285,普通,2024-07-13,2136,22343,7493,4.9,535.24,16,2025-08-15
C0286,普通,2025-02-16,4611,44295,38672,2.5,509.01,3,2024-04-28
C0287,金卡,2022-08-06,21842,32769,8523,3.2,15756.29,3,2024-07-13
C0288,金卡,2022-05-03,23396,45716,11061,1.5,14483.94,8,2025-02-14
C0289,黑卡,2025-08-29,67235,80835,16035,3.2,29580.1,8,2025-10-02
C0290,金卡,2025-02-09,23597,67749,32650,3.7,12699.72,2,2025-01-17
C0291,黑卡,2022-02-06,78226,84899,9851,2.3,31035.19,11,2024-02-07
C0292,金卡,2022-08-03,38504,66748,62984,4.9,18145.38,14,2024-12-30
C0293,普通,2023-05-30,4714,22875,1120,3.3,2985.02,5,2024-12-10
C0294,普通,2022-12-16,4236,44962,6096,0.9,716.03,17,2024-05-03
C0295,金卡,2024-05-02,31473,67060,42733,4.2,18668.35,3,2025-08-12
C0296,银卡,2024-10-02,1611,13366,9178,2.3,5083.69,9,2024-04-07
C0297,普通,2024-10-10,2279,36458,26298,1.9,2016.66,6,2025-11-18
C0298,银卡,2023-03-15,11623,61486,27178,0.5,7720.97,12,2025-08-30
C0299,黑卡,2024-04-06,32180,76383,27374,2.2,20360.36,2,2024-08-15
C0300,银卡,2022-05-20,11981,61885,38788,1.5,3837.89,2,2025-08-13
C0301,银卡,2022-12-14,14400,30525,25417,2.4,4393.31,13,2025-02-25
C0302,银卡,2024-03-03,14386,48391,37793,4.1,2367.78,17,2025-06-29
C0303,普通,2022-01-17,4723,47034,43373,2.1,1996.85,12,2025-03-24
C0304,银卡,2024-03-24,8514,30656,4316,4.7,5075.9,3,2024-03-24
C0305,银卡,2023-07-22,16875,60422,35385,3.7,7933.42,3,2025-05-28
C0306,普通,2024-08-01,2811,40290,30931,3.0,2733.95,9,2025-03-19
C0307,金卡,2023-08-09,30372,61658,37084,2.1,15618.24,12,2025-11-07
C0308,银卡,2024-05-23,2492,20425,17186,4.7,2427.2,0,2025-05-19
C0309,金卡,2025-12-17,18894,47828,31721,2.3,15014.62,6,2024-03-19
C0310,金卡,2025-03-08,27320,56579,10451,0.9,11287.17,12,2025-05-09
C0311,普通,2025-09-18,1457,30024,29017,4.3,798.82,2,2024-01-08
C0312,金卡,2024-10-01,46765,69835,68078,0.9,6375.84,2,2025-07-03
C0313,银卡,2022-11-14,15242,40195,32575,5.0,4049.6,16,2024-01-12
C0314,金卡,2023-02-12,14725,35746,13302,3.2,18119.61,19,2025-10-19
C0315,普通,2023-09-24,3863,42127,4999,3.4,686.33,5,2024-11-14
C0316,金卡,2023-04-14,45196,47701,16488,1.8,13223.24,12,2025-09-16
C0317,银卡,2022-05-25,6499,38148,10322,4.0,4545.47,0,2024-05-31
C0318,普通,2025-04-07,2712,4040,3299,1.2,1336.72,10,2025-09-03
C0319,普通,2025-01-23,3651,27451,10148,1.5,2321.59,10,2024-07-27
C0320,金卡,2022-05-18,18150,39624,37184,0.7,11569.4,10,2025-12-25
C0321,金卡,2023-10-26,29704,49660,23743,4.7,13214.35,20,2024-06-15
C0322,普通,2022-05-20,272,47904,26784,0.6,2487.25,8,2025-07-25
C0323,银卡,2022-04-27,5261,45518,11382,1.8,2445.62,12,2025-01-09
C0324,银卡,2025-05-02,11827,29184,18883,1.8,7035.98,11,2024-01-18
C0325,金卡,2024-09-14,13650,56259,53571,2.8,14977.69,8,2025-05-17
C0326,普通,2024-11-04,1971,48494,7412,2.6,1445.0,5,2025-12-19
C0327,金卡,2025-01-12,45318,59196,31056,1.9,19992.4,12,2024-04-13
C0328,普通,2022-11-21,2651,44605,43681,3.0,2923.54,16,2025-09-06
C0329,银卡,2022-05-14,17072,37220,25709,4.0,5463.37,7,2025-03-08
C0330,普通,2024-11-28,3504,18195,10148,3.4,1419.21,12,2024-03-26
C0331,普通,2022-07-07,1412,29817,9844,4.2,660.26,16,2024-06-06
C0332,银卡,2023-01-20,13333,48628,7527,3.2,4797.27,8,2025-08-28
C0333,普通,2022-05-28,2464,33415,27991,2.8,1809.24,7,2024-08-13
